x: -10.80, y:  16.72, z: -1415.58
x:  -3.03, y:  10.98, z:    15.11
x:  30.77, y:  -6.89, z: -1145.32
x:   6.17, y:  10.95, z:  -634.87
x: -57.13, y:  15.26, z: -1489.96
x:  24.42, y: -25.22, z:    -0.34
x:  25.23, y:  26.27, z:    45.58
x: -22.23, y: -15.60, z:  -135.90
x: -15.64, y:  26.69, z: -1223.57
x: -16.44, y:  -3.68, z:  -238.82
x: -19.04, y:   8.43, z:    71.40
x: -13.58, y:  -5.81, z:    12.35
x:   1.59, y:  12.11, z:   -10.15
x:  13.89, y:  22.21, z:  1075.46
x:  12.65, y: -15.73, z:   701.15
x: -11.24, y:   0.20, z:  -260.29
x: -12.22, y:  29.41, z:  1163.89
x:  -1.10, y:  26.64, z:  1250.57
x:  20.31, y:  -3.62, z:  1053.23
x: -33.58, y:  37.34, z:  2731.91
x:   5.53, y:  -7.66, z:  -191.87
x:  -1.76, y:  43.36, z:   -32.79
x:  26.31, y: -21.24, z:  1781.99
x: -19.94, y:   0.87, z:  -767.32
x:  -3.30, y:   7.38, z:   -92.99
x: -15.79, y: -12.08, z:    85.66
x:  -2.71, y: -27.84, z:  -184.40
x: -11.32, y:  -0.11, z:   743.34
x: -23.18, y: -17.80, z:   763.05
x:  -0.45, y:  14.23, z:   248.88
x:   5.42, y:   0.87, z:    -7.98
x: -85.63, y: -136.69, z: 10127.50
x:  16.66, y:  -0.36, z:   683.50
x:  13.68, y:  -0.40, z:   479.68
x: -20.00, y: -34.87, z:  -377.01
x: -11.95, y:   2.37, z:  -291.36
x:  14.50, y:  24.16, z:   946.90
x:   8.96, y:  29.61, z:  -395.52
x: -25.37, y:   0.34, z:   949.22
x:   5.77, y:  13.31, z:  -578.41
x: -11.59, y:  18.89, z:   -29.57
x:  -4.02, y:   6.84, z:   -20.94
x:   8.58, y:   3.63, z:   -22.26
x: -11.77, y: -13.07, z:    13.87
x:  -3.00, y:  18.05, z:  -121.18
x:  17.61, y:  -3.57, z:    72.45
x:  12.40, y: -44.35, z:   757.25
x:   8.48, y:   1.94, z:    -1.73
x:  22.73, y:  16.43, z:  -161.03
x: -12.72, y:  30.89, z: -2315.55
x:  -9.20, y:  -4.73, z:   -48.79
x:  17.28, y:  22.97, z:  -676.07
x:  14.66, y: -22.28, z:  -415.97
x:  51.97, y:  -6.35, z: -2328.14
